Capitale, Quelle est la capitale de la suisse ?, Berne, Zurich, Genève, Lausanne;
Capitale, Quelle est la capitale de la France ?, Paris, Toulouse, Marseille, Nantes;
Histoire, Qui était le premier empereur romain ?, Auguste, Jules César, Néron, Caligula;
Géographie, Quelle est la capitale de l'Australie ?, Canberra, Sydney, Melbourne, Perth;
Sciences, Quel est le symbole chimique de l'or ?, Au, Ag, Fe, Gd;
Littérature, Qui a écrit 'Les Misérables' ?, Victor Hugo, Émile Zola, Gustave Flaubert, Honoré de Balzac;
Art, Qui a peint la fresque de la Chapelle Sixtine ?, Michel-Ange, Léonard de Vinci, Raphaël, Donatello;
Astronomie, Quelle est la planète la plus proche du Soleil ?, Mercure, Vénus, Mars, Jupiter;
Sport, Combien de joueurs composent une équipe de football sur le terrain ?, 11, 7, 15, 9;
Musique, Quel compositeur est l'auteur de la 9ème symphonie ?, Ludwig van Beethoven, Wolfgang Amadeus Mozart, Johann Sebastian Bach, Frédéric Chopin;
Cinéma, Quel film a remporté l'Oscar du meilleur film en 2020 ?, Parasite, 1917, Joker, Once Upon a Time in Hollywood;
Mythologie, Qui est le dieu grec de la mer ?, Poséidon, Zeus, Hadès, Arès;
Géographie, Quel est le plus long fleuve du monde ?, Le Nil, L'Amazone, Le Mississippi, Le Yangzi Jiang;
Invention, Qui a inventé l'ampoule électrique incandescente ?, Thomas Edison, Nikola Tesla, Alexander Graham Bell, Guglielmo Marconi;
Histoire, Qui a découvert l'Amérique en 1492 ?, Christophe Colomb, Vasco de Gama, Magellan, Marco Polo;
Géographie, Quel est le plus petit pays du monde ?, Le Vatican, Monaco, Nauru, Saint-Marin;
Sciences, Quelle est la vitesse de la lumière ?, 300000 km/s, 150000 km/s, 500000 km/s, 1000000 km/s;
Littérature, Quel est l'auteur du Petit Prince ?, Antoine de Saint-Exupéry, Albert Camus, Victor Hugo, Jules Verne;
Art, Qui a peint La Joconde ?, Léonard de Vinci, Pablo Picasso, Vincent van Gogh, Claude Monet;
Sport, Quel pays a remporté la Coupe du Monde de football 2018 ?, La France, L'Allemagne, Le Brésil, L'Argentine;
Musique, Quel instrument jouait Jimi Hendrix ?, La guitare, Le piano, La batterie, La trompette;
Cinéma, Qui a réalisé le film Inception ?, Christopher Nolan, Steven Spielberg, James Cameron, Quentin Tarantino;
Mythologie, Qui est le dieu de la foudre dans la mythologie grecque ?, Zeus, Hadès, Poséidon, Apollon;
Nature, Quel est le plus grand mammifère terrestre ?, L'éléphant d'Afrique, Le rhinocéros, La girafe, L'hippopotame;
Histoire, Quel roi de France était surnommé le Roi-Soleil ?, Louis XIV, Louis XVI, Henri IV, François Ier;
Géographie, Sur quel continent se trouve le désert du Sahara ?, L'Afrique, L'Asie, L'Océanie, L'Amérique du Sud;
Sciences, Quel gaz les plantes absorbent-elles pour la photosynthèse ?, Le dioxyde de carbone, L'oxygène, L'azote, L'hydrogène;
Littérature, Dans quelle ville se déroule l'intrigue de Romeo et Juliette ?, Vérone, Rome, Venise, Florence;
Gastronomie, Quel ingrédient est la base du guacamole ?, L'avocat, La tomate, Le poivron, L'oignon;
Technologie, Qui est le cofondateur de Microsoft avec Paul Allen ?, Bill Gates, Steve Jobs, Mark Zuckerberg, Elon Musk;
Espace, Quelle est la planète rouge ?, Mars, Vénus, Jupiter, Saturne;
Histoire, En quelle année a commencé la Révolution française ?, 1789, 1776, 1804, 1815;
Sport, Quel est le score maximal pour un strike au bowling ?, 30, 10, 50, 20;
Musique, Quel groupe chantait Yellow Submarine ?, Les Beatles, Les Rolling Stones, Queen, Led Zeppelin;
Cinéma, Quel acteur incarne Iron Man au cinéma ?, Robert Downey Jr, Chris Evans, Mark Ruffalo, Tom Holland;
Mythologie, Quel héros grec a tué la Méduse ?, Persée, Hercule, Achille, Thésée;
Géographie, Quelle est la capitale du Japon ?, Tokyo, Kyoto, Osaka, Nagoya;
Sciences, Quel organe produit l'insuline ?, Le pancréas, Le foie, Le rein, Le cœur;
Littérature, Qui a écrit 1984 ?, George Orwell, Aldous Huxley, Ray Bradbury, Isaac Asimov;
Art, Quel mouvement artistique a été fondé par Monet ?, L'impressionnisme, Le surréalisme, Le cubisme, Le fauvisme;
Sport, Quelle est la distance d'un marathon ?, 42.195 km, 21 km, 10 km, 50 km;
Histoire, Qui était le leader de l'URSS pendant la Seconde Guerre mondiale ?, Joseph Staline, Vladimir Lénine, Nikita Khrouchtchev, Léon Trotski;
Géographie, Quel océan borde la côte ouest des États-Unis ?, L'océan Pacifique, L'océan Atlantique, L'océan Indien, L'océan Arctique;
